timestamp,server,day_of_week,hour,minute,latency_ms,jitter,packet_loss,is_weekend
2026-05-08T23:11:13.287651,8.8.8.8,4,23,11,32.2,9.25,0.0,0
2026-05-08T23:11:17.492011,1.1.1.1,4,23,11,21.4,6.75,0.0,0
2026-05-08T23:11:21.591551,8.8.4.4,4,23,11,27.2,2.5,0.0,0
2026-05-08T23:11:35.665266,8.8.8.8,4,23,11,27.0,1.0,0.0,0
2026-05-08T23:11:39.734002,1.1.1.1,4,23,11,18.8,1.25,0.0,0
2026-05-08T23:11:43.812822,8.8.4.4,4,23,11,33.4,10.75,0.0,0
2026-05-08T23:11:57.886645,8.8.8.8,4,23,11,27.8,1.5,0.0,0
2026-05-08T23:12:01.975962,1.1.1.1,4,23,12,19.6,2.5,0.0,0
2026-05-08T23:12:06.070795,8.8.4.4,4,23,12,31.8,6.5,0.0,0
2026-05-08T23:12:20.171745,8.8.8.8,4,23,12,32.6,8.25,0.0,0
2026-05-08T23:12:24.265803,1.1.1.1,4,23,12,18.8,1.75,0.0,0
2026-05-08T23:12:28.330617,8.8.4.4,4,23,12,31.6,7.75,0.0,0
2026-05-08T23:12:42.442480,8.8.8.8,4,23,12,34.0,14.75,0.0,0
2026-05-08T23:12:46.542231,1.1.1.1,4,23,12,18.6,1.25,0.0,0
2026-05-08T23:12:50.632658,8.8.4.4,4,23,12,29.4,2.5,0.0,0
2026-05-08T23:13:04.720693,8.8.8.8,4,23,13,35.0,19.75,0.0,0
2026-05-08T23:13:08.796724,1.1.1.1,4,23,13,17.8,0.75,0.0,0
2026-05-08T23:13:12.867069,8.8.4.4,4,23,13,30.6,10.0,0.0,0
2026-05-08T23:13:26.942883,8.8.8.8,4,23,13,26.2,1.25,0.0,0
2026-05-08T23:13:31.022861,1.1.1.1,4,23,13,19.6,0.75,0.0,0
2026-05-08T23:13:35.114467,8.8.4.4,4,23,13,28.2,4.25,0.0,0
2026-05-08T23:13:49.202118,8.8.8.8,4,23,13,33.0,8.75,0.0,0
2026-05-08T23:13:53.407949,1.1.1.1,4,23,13,44.2,45.75,0.0,0
2026-05-08T23:13:57.502171,8.8.4.4,4,23,13,30.8,4.5,0.0,0
2026-05-08T23:14:11.607207,8.8.8.8,4,23,14,44.2,32.0,0.0,0
2026-05-08T23:14:15.706172,1.1.1.1,4,23,14,34.2,15.75,0.0,0
2026-05-08T23:14:19.821716,8.8.4.4,4,23,14,37.4,15.5,0.0,0
2026-05-08T23:14:33.910172,8.8.8.8,4,23,14,26.4,1.25,0.0,0
2026-05-08T23:14:38.005054,1.1.1.1,4,23,14,18.2,1.25,0.0,0
2026-05-08T23:14:42.078754,8.8.4.4,4,23,14,27.6,2.25,0.0,0
2026-05-08T23:14:56.171711,8.8.8.8,4,23,14,26.8,0.5,0.0,0
2026-05-08T23:15:00.254895,1.1.1.1,4,23,15,22.8,7.5,0.0,0
2026-05-08T23:15:04.350465,8.8.4.4,4,23,15,27.4,1.25,0.0,0
2026-05-08T23:15:18.435616,8.8.8.8,4,23,15,29.4,1.25,0.0,0
2026-05-08T23:15:22.533561,1.1.1.1,4,23,15,19.2,2.5,0.0,0
2026-05-08T23:15:26.615901,8.8.4.4,4,23,15,32.0,6.5,0.0,0
2026-05-08T23:15:40.730628,8.8.8.8,4,23,15,33.8,7.25,0.0,0
2026-05-08T23:15:44.830982,1.1.1.1,4,23,15,22.6,9.25,0.0,0
2026-05-08T23:15:48.901778,8.8.4.4,4,23,15,27.6,2.25,0.0,0
2026-05-08T23:16:03.001810,8.8.8.8,4,23,16,30.0,6.75,0.0,0
2026-05-08T23:16:07.089091,1.1.1.1,4,23,16,19.4,2.0,0.0,0
2026-05-08T23:16:11.181013,8.8.4.4,4,23,16,30.2,5.5,0.0,0
2026-05-08T23:16:25.273040,8.8.8.8,4,23,16,28.0,3.25,0.0,0
2026-05-08T23:16:29.364497,1.1.1.1,4,23,16,19.2,2.75,0.0,0
2026-05-08T23:16:33.439897,8.8.4.4,4,23,16,26.4,0.75,0.0,0
2026-05-08T23:16:47.524265,8.8.8.8,4,23,16,27.6,2.5,0.0,0
2026-05-08T23:16:51.614448,1.1.1.1,4,23,16,18.0,1.25,0.0,0
2026-05-08T23:16:55.701287,8.8.4.4,4,23,16,26.8,1.5,0.0,0
2026-05-08T23:17:09.771869,8.8.8.8,4,23,17,25.6,0.25,0.0,0
2026-05-08T23:17:13.858223,1.1.1.1,4,23,17,22.6,10.75,0.0,0
2026-05-08T23:17:17.935976,8.8.4.4,4,23,17,27.6,2.25,0.0,0
2026-05-08T23:17:32.014511,8.8.8.8,4,23,17,30.0,7.0,0.0,0
2026-05-08T23:17:36.097524,1.1.1.1,4,23,17,22.6,8.5,0.0,0
2026-05-08T23:17:40.176393,8.8.4.4,4,23,17,28.6,3.75,0.0,0
2026-05-08T23:17:54.263486,8.8.8.8,4,23,17,25.4,0.75,0.0,0
2026-05-08T23:17:58.343935,1.1.1.1,4,23,17,18.6,2.25,0.0,0
2026-05-08T23:18:02.429781,8.8.4.4,4,23,18,27.8,3.75,0.0,0
2026-05-08T23:18:16.509002,8.8.8.8,4,23,18,26.8,0.75,0.0,0
2026-05-08T23:18:20.600579,1.1.1.1,4,23,18,23.0,6.5,0.0,0
2026-05-08T23:18:24.681541,8.8.4.4,4,23,18,28.0,4.0,0.0,0
