day_of_week,hour,minute,latency_ms,jitter,packet_loss,is_weekend,server_encoded,latency_lag_1,latency_lag_2,latency_lag_3,latency_rolling_mean_5,latency_rolling_std_5,jitter_rolling_mean_5,hour_sin,hour_cos,dow_sin,dow_cos,latency_jitter_ratio
4,23,21,27.2,2.5,0.0,0,2,31.2,20.8,26.8,26.48,3.713758204299254,3.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,10.87999564800174
4,23,21,19.4,2.0,0.0,0,0,27.2,31.2,20.8,25.080000000000002,4.885898075072796,3.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.699995150002424
4,23,21,29.6,7.0,0.0,0,1,19.4,27.2,31.2,25.639999999999997,5.277120426899508,4.25,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.228570824489882
4,23,21,28.8,4.5,0.0,0,2,29.6,19.4,27.2,27.24,4.6138920663578595,4.0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.399998577778094
4,23,22,21.8,6.5,0.0,0,0,28.8,29.6,19.4,25.360000000000003,4.510875746459888,4.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.353845637869902
4,23,22,33.6,6.75,0.0,0,1,21.8,28.8,29.6,26.639999999999997,5.867537814109085,5.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.977777040329327
4,23,24,31.4,7.25,0.0,0,2,33.6,21.8,28.8,29.04,4.448370488167543,6.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.331033885374636
4,23,24,22.0,11.0,0.0,0,0,31.4,33.6,21.8,27.52,5.404812670204213,7.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.9999998181818348
4,23,24,25.6,1.5,0.0,0,1,22.0,31.4,33.6,26.879999999999995,5.404812670204214,6.6,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.066655288896477
4,23,24,26.2,1.25,0.0,0,2,25.6,22.0,31.4,27.759999999999998,4.680598252360481,5.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,20.959983232013414
4,23,24,19.0,1.75,0.0,0,0,26.2,25.6,22.0,24.84,4.680598252360487,4.55,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,10.85713665306477
4,23,24,31.8,11.75,0.0,0,1,19.0,26.2,25.6,24.92,4.822032766375613,5.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,2.706382748392958
4,23,24,27.8,3.5,0.0,0,2,31.8,19.0,26.2,26.080000000000002,4.638103060519462,3.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.942854873470036
4,23,24,19.4,1.5,0.0,0,0,27.8,31.8,19.0,24.84,5.539675080724505,3.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.933324711116859
4,23,24,27.8,3.0,0.0,0,1,19.4,27.8,31.8,25.16,5.682253074265528,4.3,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.266663577778807
4,23,25,28.0,3.25,0.0,0,2,27.8,19.4,27.8,26.96,4.557192117960355,4.6,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.615381964497857
4,23,25,20.0,2.0,0.0,0,0,28.0,27.8,19.4,24.6,4.4788391353117465,2.65,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,9.9999950000025
4,23,25,27.2,1.25,0.0,0,1,20.0,28.0,27.8,24.48,4.378584246077729,2.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,21.759982592013927
4,23,25,27.2,0.75,0.0,0,2,27.2,20.0,28.0,26.04,3.3952908564657625,2.05,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,36.266618311175584
4,23,25,21.2,3.25,0.0,0,0,27.2,27.2,20.0,24.72,3.798947222586812,2.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.523074915976949
4,23,25,27.6,1.5,0.0,0,1,21.2,27.2,27.2,24.64,3.715911731997957,1.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,18.39998773334151
4,23,25,33.0,10.25,0.0,0,2,27.6,21.2,27.2,27.24,4.177080320032158,3.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.2195118810232315
4,23,25,24.2,6.75,0.0,0,0,33.0,27.6,21.2,26.639999999999997,4.394086935871886,4.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,3.5851846540467176
4,23,26,27.2,0.5,0.0,0,1,24.2,33.0,27.6,26.640000000000004,4.394086935871886,4.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,54.399891200217596
4,23,26,27.0,0.75,0.0,0,2,27.2,24.2,33.0,27.8,3.2031234756093827,3.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,35.999952000064
4,23,26,20.0,3.25,0.0,0,0,27.0,27.2,24.2,26.28,4.750999894758997,4.3,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.153844260355612
4,23,26,27.0,2.25,0.0,0,1,20.0,27.0,27.2,25.080000000000002,3.1003225638633247,2.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,11.999994666669036
4,23,26,27.6,2.25,0.0,0,2,27.0,20.0,27.0,25.76,3.229241396984751,1.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,12.266661214817237
4,23,26,19.2,0.5,0.0,0,0,27.6,27.0,20.0,24.160000000000004,4.1794736510714,1.8,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,38.399923200153594
4,23,26,27.8,4.25,0.0,0,1,19.2,27.6,27.0,24.32,4.328048058882907,2.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.541174931488252
4,23,27,26.8,0.5,0.0,0,2,27.8,19.2,27.6,25.68,3.645819523783375,1.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,53.5998928002144
4,23,27,20.6,4.75,0.0,0,0,26.8,27.8,19.2,24.4,4.154515615568209,2.45,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.33684119224396
4,23,27,28.0,1.75,0.0,0,1,20.6,26.8,27.8,24.48,4.23461922727417,2.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,15.999990857148083
4,23,27,28.6,4.0,0.0,0,2,28.0,20.6,26.8,26.360000000000003,3.2845090957401846,3.05,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.149998212500447
4,23,27,23.6,5.5,0.0,0,0,28.6,28.0,20.6,25.520000000000003,3.360357123878359,3.3,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.290908310743943
4,23,27,27.6,1.5,0.0,0,1,23.6,28.6,28.0,25.68,3.4542727165063316,3.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,18.39998773334151
4,23,27,27.0,1.5,0.0,0,2,27.6,23.6,28.6,26.96,1.9667231630303188,2.85,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.999988000008003
4,23,27,21.4,3.5,0.0,0,0,27.0,27.6,23.6,25.639999999999997,3.0245660845813953,3.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.114283967347437
4,23,27,29.4,4.0,0.0,0,1,21.4,27.0,27.6,25.8,3.234192325759249,3.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,7.349998162500459
4,23,28,26.0,1.5,0.0,0,2,29.4,21.4,27.0,26.28,2.9953296980466115,2.4,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,17.333321777785482
4,23,28,21.2,4.75,0.0,0,0,26.0,29.4,21.4,25.0,3.5972211497209967,3.05,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,4.463156955124851
4,23,28,29.8,2.5,0.0,0,1,21.2,26.0,29.4,25.56,4.160288451537951,3.25,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,11.919995232001908
4,23,28,30.2,6.0,0.0,0,2,29.8,21.2,26.0,27.32,3.8068359565392327,3.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,5.033332494444584
4,23,28,20.2,2.0,0.0,0,0,30.2,29.8,21.2,25.48,4.674612283387793,3.35,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,10.099994950002523
4,23,28,26.6,0.25,0.0,0,1,20.2,30.2,29.8,25.6,4.698936049788295,3.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,106.39957440170241
4,23,28,31.0,4.75,0.0,0,2,26.6,20.2,30.2,27.560000000000002,4.4416213255972155,3.1,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,6.526314415512754
4,23,28,30.4,17.75,0.0,0,0,31.0,26.6,20.2,27.68,4.524599429783808,6.15,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.7126759598492416
4,23,29,27.8,2.75,0.0,0,1,30.4,31.0,26.6,27.2,4.312771730569562,5.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,10.109087233059189
4,23,29,27.0,2.0,0.0,0,2,27.8,30.4,31.0,28.560000000000002,2.0119642143934713,5.5,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,13.499993250003374
4,23,29,20.6,2.5,0.0,0,0,27.0,27.8,30.4,27.360000000000003,4.138598796694355,5.95,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,8.23999670400132
4,23,29,26.4,1.0,0.0,0,1,20.6,27.0,27.8,26.439999999999998,3.6038867906747556,5.2,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,26.3999736000264
4,23,29,26.6,0.5,0.0,0,2,26.4,20.6,27.0,25.68,2.8899826989101536,1.75,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,53.199893600212796
4,23,29,24.0,12.5,0.0,0,0,26.6,26.4,20.6,24.919999999999998,2.685516710057869,3.7,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,1.9199998464000123
